"SubjectId" "Activity" "Measurement" "Mean"
1 "LAYING" "BodyAccelerationXTimeMean" 0.22159824394
1 "LAYING" "BodyAccelerationYTimeMean" -0.0405139534294
1 "LAYING" "BodyAccelerationZTimeMean" -0.11320355358
1 "LAYING" "GravityAccelerationXTimeMean" -0.24888179828
1 "LAYING" "GravityAccelerationYTimeMean" 0.70554977346
1 "LAYING" "GravityAccelerationZTimeMean" 0.4458177198
1 "LAYING" "BodyLinearAccelerationXTimeMean" 0.0810865342
1 "LAYING" "BodyLinearAccelerationYTimeMean" 0.0038382040088
1 "LAYING" "BodyLinearAccelerationZTimeMean" 0.010834236361
1 "LAYING" "BodyGyroXTimeMean" -0.016553093978
1 "LAYING" "BodyGyroYTimeMean" -0.064486124088
1 "LAYING" "BodyGyroZTimeMean" 0.14868943626
1 "LAYING" "BodyAngularVelocityXTimeMean" -0.107270949192
1 "LAYING" "BodyAngularVelocityYTimeMean" -0.04151728689
1 "LAYING" "BodyAngularVelocityZTimeMean" -0.0740501211
1 "LAYING" "BodyAccelerationMagnitudeTimeMean" -0.8419291525
1 "LAYING" "GravityAccelerationMagnitudeTimeMean" -0.8419291525
1 "LAYING" "BodyLinearAccelerationMagnitudeTimeMean" -0.9543962646
1 "LAYING" "BodyGyroMagnitudeTimeMean" -0.874759548
1 "LAYING" "BodyAngularVelocityMagnitudeTimeMean" -0.96346103
1 "LAYING" "BodyAccelerationXFrequencyMean" -0.9390990524
1 "LAYING" "BodyAccelerationYFrequencyMean" -0.86706520518
1 "LAYING" "BodyAccelerationZFrequencyMean" -0.8826668762
1 "LAYING" "BodyLinearAccelerationXFrequencyMean" -0.9570738838
1 "LAYING" "BodyLinearAccelerationYFrequencyMean" -0.9224626098
1 "LAYING" "BodyLinearAccelerationZFrequencyMean" -0.9480609042
1 "LAYING" "BodyGyroXFrequencyMean" -0.850249174586
1 "LAYING" "BodyGyroYFrequencyMean" -0.9521914948
1 "LAYING" "BodyGyroZFrequencyMean" -0.909302721
1 "LAYING" "BodyAccelerationMagnitudeFrequencyMean" -0.8617676481
1 "LAYING" "BodyBodyLinearAccelerationMagnitudeFrequencyMean" -0.9333003608
1 "LAYING" "BodyBodyGyroMagnitudeFrequencyMean" -0.8621901854
1 "LAYING" "BodyBodyAngularVelocityMagnitudeFrequencyMean" -0.9423669466
1 "LAYING" "BodyAccelerationXTimeStdDev" -0.9280564692
1 "LAYING" "BodyAccelerationYTimeStdDev" -0.83682740562
1 "LAYING" "BodyAccelerationZTimeStdDev" -0.826061401628
1 "LAYING" "GravityAccelerationXTimeStdDev" -0.8968300184
1 "LAYING" "GravityAccelerationYTimeStdDev" -0.90772000676
1 "LAYING" "GravityAccelerationZTimeStdDev" -0.85236629022
1 "LAYING" "BodyLinearAccelerationXTimeStdDev" -0.958482112
1 "LAYING" "BodyLinearAccelerationYTimeStdDev" -0.9241492736
1 "LAYING" "BodyLinearAccelerationZTimeStdDev" -0.9548551108
1 "LAYING" "BodyGyroXTimeStdDev" -0.87354386782
1 "LAYING" "BodyGyroYTimeStdDev" -0.9510904402
1 "LAYING" "BodyGyroZTimeStdDev" -0.9082846626
1 "LAYING" "BodyAngularVelocityXTimeStdDev" -0.9186085208
1 "LAYING" "BodyAngularVelocityYTimeStdDev" -0.9679072436
1 "LAYING" "BodyAngularVelocityZTimeStdDev" -0.9577901596
1 "LAYING" "BodyAccelerationMagnitudeTimeStdDev" -0.79514486386
1 "LAYING" "GravityAccelerationMagnitudeTimeStdDev" -0.79514486386
1 "LAYING" "BodyLinearAccelerationMagnitudeTimeStdDev" -0.9282456284
1 "LAYING" "BodyGyroMagnitudeTimeStdDev" -0.81901016976
1 "LAYING" "BodyAngularVelocityMagnitudeTimeStdDev" -0.9358409828
1 "LAYING" "BodyAccelerationXFrequencyStdDev" -0.9244374346
1 "LAYING" "BodyAccelerationYFrequencyStdDev" -0.8336255561
1 "LAYING" "BodyAccelerationZFrequencyStdDev" -0.81289155944
1 "LAYING" "BodyLinearAccelerationXFrequencyStdDev" -0.9641607086
1 "LAYING" "BodyLinearAccelerationYFrequencyStdDev" -0.9322178704
1 "LAYING" "BodyLinearAccelerationZFrequencyStdDev" -0.9605869872
1 "LAYING" "BodyGyroXFrequencyStdDev" -0.8822964508
1 "LAYING" "BodyGyroYFrequencyStdDev" -0.9512320494
1 "LAYING" "BodyGyroZFrequencyStdDev" -0.9165825082
1 "LAYING" "BodyAccelerationMagnitudeFrequencyStdDev" -0.7983009404
1 "LAYING" "BodyBodyLinearAccelerationMagnitudeFrequencyStdDev" -0.9218039756
